"Avg # Bars In Losing Trades: All","Avg # Bars In Losing Trades: Long","Avg # Bars In Losing Trades: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars In Winning Trades: All","Avg # Bars In Winning Trades: Long","Avg # Bars In Winning Trades: Short","Avg Losing Trade: All","Avg Losing Trade: Long","Avg Losing Trade: Short","Avg Losing Trade %: All","Avg Losing Trade %: Long","Avg Losing Trade %: Short","Avg Trade: All","Avg Trade: Long","Avg Trade: Short","Avg Trade %: All","Avg Trade %: Long","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade: Long","Avg Winning Trade: Short","Avg Winning Trade %: All","Avg Winning Trade %: Long","Avg Winning Trade %: Short","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Gross Loss: All","Gross Loss: Long","Gross Loss: Short","Gross Loss %: All","Gross Loss %: Long","Gross Loss %: Short","Gross Profit: All","Gross Profit: Long","Gross Profit: Short","Gross Profit %: All","Gross Profit %: Long","Gross Profit %: Short","Largest Losing Trade: All","Largest Losing Trade: Long","Largest Losing Trade: Short","Largest Losing Trade %: All","Largest Losing Trade %: Long","Largest Losing Trade %: Short","Largest Winning Trade: All","Largest Winning Trade: Long","Largest Winning Trade: Short","Largest Winning Trade %: All","Largest Winning Trade %: Long","Largest Winning Trade %: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Net Profit: All","Net Profit: Long","Net Profit: Short","Net Profit %: All","Net Profit %: Long","Net Profit %: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Max Drawdown","Open PL","Buy & Hold Return","Sharpe Ratio","Sortino Ratio","Max Drawdown %","Buy & Hold Return %","Open PL %","comment","__From","__To","__Length","__KSmoothing","__DLength","__Level","__CCI_Period","__T3_Period","__B","__Trade reverse","__Long Stop Loss %","__Enable Trailing","__Stop Loss","__Take Profit","__Trailing Stop","__Trailing Offset","__Source","__Filter","__Slow EMA Period","__Fast EMA Period","__Angle 1","__Angle 2","__Bull Angle Source","__Bear Angle Source"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,555.00,309.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",30.00,16.00,93.00,27.00,"hlc3","hlc3"
222.33,222.33,0,367.40,367.40,0,585.00,585.00,0,9.86,9.86,0,1.97,1.97,0,0.26,0.26,0,0.05,0.05,0,15.44,15.44,0,3.09,3.09,0,0,0,0,29.57,29.57,0,5.91,5.91,0,30.88,30.88,0,6.18,6.18,0,12.86,12.86,0,2.47,2.47,0,30.18,30.18,0,6.03,6.03,0,0,0,0,0.21,0.21,0,1.31,1.31,0,0.26,0.26,0,3.00,3.00,0,2.00,2.00,0,40.00,40.00,0,1.04,1.04,0,1.57,1.57,0,0,0,0,5.00,5.00,0,29.57,0,69.36,0.02,0.04,5.57,13.87,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,330.00,189.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",50.00,9.00,57.00,13.00,"hlc3","hlc3"
250.60,250.60,0,343.67,343.67,0,809.00,809.00,0,7.46,7.46,0,1.49,1.49,0,-1.41,-1.41,0,-0.28,-0.28,0,28.84,28.84,0,5.77,5.77,0,0,0,0,37.31,37.31,0,7.46,7.46,0,28.84,28.84,0,5.77,5.77,0,12.08,12.08,0,2.36,2.36,0,28.84,28.84,0,5.82,5.82,0,0,0,0,0.20,0.20,0,-8.48,-8.48,0,-1.70,-1.70,0,5.00,5.00,0,1.00,1.00,0,16.67,16.67,0,0.77,0.77,0,3.86,3.86,0,0,0,0,6.00,6.00,0,32.84,0,63.21,-0.07,-0.12,6.26,12.64,0,"Changed ""B"": 0.08 => 0.02.",true,0,67.00,5.00,7.00,6.00,330.00,189.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",50.00,9.00,57.00,13.00,"hlc3","hlc3"
180.80,180.80,0,193.00,193.00,0,254.00,254.00,0,8.28,8.28,0,1.66,1.66,0,-6.67,-6.67,0,-1.33,-1.33,0,1.39,1.39,0,0.28,0.28,0,0,0,0,41.41,41.41,0,8.28,8.28,0,1.39,1.39,0,0.28,0.28,0,13.85,13.85,0,2.83,2.83,0,1.39,1.39,0,0.28,0.28,0,0,0,0,0.19,0.19,0,-40.02,-40.02,0,-8.00,-8.00,0,5.00,5.00,0,1.00,1.00,0,16.67,16.67,0,0.03,0.03,0,0.17,0.17,0,0,0,0,6.00,6.00,0,40.02,0,23.78,-0.58,-0.50,8.00,4.76,0,"Changed ""CCI_Period"": 330 => 150.",true,0,67.00,5.00,7.00,6.00,150.00,189.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",50.00,9.00,57.00,13.00,"hlc3","hlc3"
250.60,250.60,0,343.67,343.67,0,809.00,809.00,0,7.46,7.46,0,1.49,1.49,0,-1.41,-1.41,0,-0.28,-0.28,0,28.84,28.84,0,5.77,5.77,0,0,0,0,37.31,37.31,0,7.46,7.46,0,28.84,28.84,0,5.77,5.77,0,12.08,12.08,0,2.36,2.36,0,28.84,28.84,0,5.82,5.82,0,0,0,0,0.20,0.20,0,-8.48,-8.48,0,-1.70,-1.70,0,5.00,5.00,0,1.00,1.00,0,16.67,16.67,0,0.77,0.77,0,3.86,3.86,0,0,0,0,6.00,6.00,0,32.84,0,63.21,-0.07,-0.12,6.26,12.64,0,"Changed ""CCI_Period"": 150 => 330.",true,0,67.00,5.00,7.00,6.00,330.00,189.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",50.00,9.00,57.00,13.00,"hlc3","hlc3"
224.25,224.25,0,224.25,224.25,0,0,0,0,6.41,6.41,0,1.28,1.28,0,-6.41,-6.41,0,-1.28,-1.28,0,0,0,0,0,0,0,0,0,0,25.63,25.63,0,5.13,5.13,0,0,0,0,0,0,0,12.58,12.58,0,2.52,2.52,0,0,0,0,0,0,0,0,0,0,0.20,0.20,0,-25.63,-25.63,0,-5.13,-5.13,0,4.00,4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00,4.00,0,25.63,0,58.36,-0.71,-0.58,5.13,11.67,0,"Changed ""CCI_Period"": 330 => 195.",true,0,67.00,5.00,7.00,6.00,195.00,189.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",50.00,9.00,57.00,13.00,"hlc3","hlc3"
571.00,571.00,0,571.00,571.00,0,0,0,0,1.88,1.88,0,0.38,0.38,0,-1.88,-1.88,0,-0.38,-0.38,0,0,0,0,0,0,0,0,0,0,1.88,1.88,0,0.38,0.38,0,0,0,0,0,0,0,1.88,1.88,0,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,-1.88,-1.88,0,-0.38,-0.38,0,1.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,1.00,0,1.88,0,55.25,0,0,0.38,11.05,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,555.00,339.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",20.00,17.00,93.00,30.00,"hlc3","hlc3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,555.00,219.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",35.00,15.00,102.00,25.00,"hlc3","hlc3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changed ""B"": 0.08 => 0.02.",true,0,67.00,5.00,7.00,6.00,555.00,219.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",35.00,15.00,102.00,25.00,"hlc3","hlc3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changed ""Fast EMA Period"": 15 => 8.",true,0,67.00,5.00,7.00,6.00,555.00,219.00,0.02,0,0.50,0,0,0,0,0,"hlc3","ON",35.00,8.00,102.00,25.00,"hlc3","hlc3"
